id,Номер Рейса,Что случилсоь,Наличие пострадавши,Поврежденные модули,Критично для текущего рейса?,id_Flight
422,586-40-8514,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,1,aliquam sit amet diam in magna,0,422
423,104-37-2716,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare,0,amet nunc viverra dapibus nulla suscipit ligula in lacus,0,423
424,852-81-2258,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus,0,bibendum imperdiet nullam,1,424
425,821-16-1566,turpis integer aliquet massa id lobortis convallis tortor risus,1,ut,0,425
426,220-74-6346,ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam,0,commodo vulputate justo in blandit ultrices enim lorem ipsum,0,426
427,423-07-9861,lacus morbi quis tortor id nulla ultrices aliquet,0,lacinia erat vestibulum sed magna at nunc commodo placerat praesent,1,427
428,684-98-6401,et eros vestibulum ac est lacinia,0,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,0,428
429,568-91-6554,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla,0,nulla suscipit ligula in lacus curabitur at ipsum ac tellus,1,429
430,139-41-6982,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien,1,fusce consequat nulla nisl nunc,0,430
431,596-85-0649,pede ullamcorper augue a suscipit nulla,1,massa quis augue luctus tincidunt nulla mollis molestie lorem,1,431
432,105-30-3071,tristique fusce congue diam id ornare imperdiet,1,adipiscing elit proin risus praesent lectus,0,432
433,699-41-4503,sed vel enim sit amet nunc viverra dapibus nulla,1,congue eget semper rutrum nulla nunc purus phasellus in,0,433
434,228-39-2271,augue aliquam erat volutpat in congue etiam justo etiam pretium,0,condimentum id luctus nec molestie sed justo pellentesque viverra,0,434
435,156-26-1130,in ante vestibulum ante ipsum primis,1,odio condimentum id luctus nec molestie,0,435
436,678-54-3203,viverra eget congue eget semper rutrum nulla,1,gravida nisi at nibh in,1,436
437,512-37-9570,neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et,0,vel augue,1,437
438,731-25-1433,amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in,1,enim blandit mi in porttitor pede justo eu massa donec,0,438
439,782-47-1228,duis bibendum morbi non quam nec,0,tristique fusce congue diam id ornare imperdiet sapien,0,439
440,211-05-1097,rutrum ac lobortis vel dapibus at diam nam,0,orci,0,440
441,182-13-2079,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor,1,vel nulla,1,441
442,267-45-9010,nulla quisque arcu libero rutrum,0,ipsum primis in faucibus orci luctus et ultrices posuere,0,442
443,888-08-5225,vestibulum sit amet cursus id turpis integer,1,congue elementum,1,443
444,363-14-7587,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur,0,nulla justo aliquam quis turpis eget elit,0,444
445,806-09-6301,consequat morbi a ipsum integer a nibh in,1,morbi non quam nec dui luctus rutrum nulla tellus,1,445
446,765-42-3489,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,0,vel augue vestibulum ante ipsum primis in faucibus,1,446
447,405-28-3424,orci luctus et ultrices posuere cubilia curae mauris viverra,0,eget massa,0,447
448,810-53-5255,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et,1,vestibulum rutrum,1,448
449,346-87-6413,at nibh in hac habitasse platea,1,phasellus id sapien in sapien iaculis congue vivamus,0,449
450,792-10-2390,ac est lacinia nisi venenatis tristique fusce congue,0,donec pharetra,0,450
451,803-67-3109,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet,0,amet nunc viverra dapibus nulla suscipit ligula,1,451
452,594-83-0097,malesuada in imperdiet et commodo vulputate,0,auctor sed tristique in tempus,1,452
453,777-20-4676,faucibus orci luctus et ultrices posuere,1,amet turpis elementum ligula vehicula consequat morbi,1,453
454,843-16-2079,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci,0,morbi vestibulum velit id,1,454
455,159-61-1742,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien,0,ac nulla sed vel enim sit amet nunc,1,455
456,175-43-9768,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam,0,feugiat non pretium quis,1,456
457,888-91-7214,proin risus praesent lectus vestibulum quam sapien,0,et,0,457
458,273-66-8812,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis,1,neque duis bibendum morbi non quam nec dui,1,458
459,462-83-7231,risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc,1,duis at velit eu est congue elementum in,1,459
460,750-37-7643,congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in,1,eleifend pede libero quis orci nullam molestie nibh in lectus,0,460
461,621-23-4573,vulputate luctus cum sociis natoque penatibus et magnis dis parturient,1,augue vestibulum ante ipsum primis in,1,461
462,895-41-6698,at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget,0,tincidunt lacus at velit,1,462
463,425-86-9192,in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum,1,mus vivamus vestibulum sagittis,0,463
464,505-38-8207,venenatis non sodales sed tincidunt eu felis fusce,1,nulla suspendisse potenti cras in purus eu magna vulputate,0,464
465,627-86-3897,dolor vel est donec odio justo sollicitudin ut suscipit,0,lacus purus aliquet at feugiat non pretium quis lectus suspendisse,1,465
466,733-53-9615,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id,0,turpis a pede posuere nonummy integer non velit,1,466
467,419-45-7566,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et,0,nulla pede ullamcorper,1,467
468,447-82-1061,turpis enim blandit mi in porttitor pede justo eu massa donec,0,eget tincidunt eget,1,468
469,769-32-8769,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum,1,donec,0,469
470,745-99-2489,suscipit ligula in lacus curabitur at ipsum ac tellus semper,1,ut erat id mauris vulputate elementum nullam,0,470
471,572-19-1014,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam,1,nisl aenean lectus pellentesque,0,471
472,877-25-5394,tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec,0,morbi vestibulum velit id pretium iaculis diam erat fermentum justo,1,472
473,526-86-5944,lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit,0,lectus aliquam sit amet diam in,0,473
474,739-27-8272,elementum ligula vehicula consequat morbi a ipsum,0,pede ullamcorper augue a suscipit nulla,0,474
475,171-02-5403,at turpis a pede posuere nonummy integer non velit donec diam neque,1,adipiscing molestie hendrerit at,1,475
476,482-91-6970,condimentum id luctus nec molestie sed justo pellentesque,0,velit donec diam neque vestibulum eget vulputate ut ultrices vel,1,476
477,669-88-2375,rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet,1,posuere metus,1,477
478,732-58-4006,ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id,1,sem duis aliquam,0,478
479,130-17-8629,pretium quis lectus suspendisse potenti in eleifend quam a odio in,0,vulputate,0,479
480,197-96-7431,eget tincidunt eget tempus vel pede morbi porttitor lorem id,1,eleifend,1,480
481,802-47-2024,ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis,1,in tempor turpis,0,481
482,643-21-7633,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus,1,pede libero quis orci nullam molestie nibh in,0,482
483,610-43-0111,purus aliquet at feugiat non pretium,0,ultricies eu nibh,1,483
484,617-48-7170,elit proin interdum mauris non,0,habitasse platea,1,484
485,801-87-9001,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa,1,nulla,0,485
486,222-89-5966,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio,1,ut nulla sed accumsan felis ut,1,486
487,715-81-7943,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in,1,sed tristique in,1,487
488,589-75-4891,mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum,0,suscipit a,0,488
489,467-25-3562,morbi vel lectus in quam fringilla rhoncus mauris,0,nisl nunc nisl duis bibendum felis sed interdum,0,489
490,507-48-3121,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi,1,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus,0,490
491,142-67-5002,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla,1,in lectus pellentesque at nulla suspendisse potenti cras,0,491
492,202-41-0672,tempus semper est quam pharetra magna ac consequat metus sapien ut nunc,0,adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,0,492
493,796-30-8258,posuere felis sed lacus morbi sem mauris,0,ligula vehicula consequat morbi a ipsum integer,1,493
494,209-78-5260,ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque,0,nisl nunc nisl duis bibendum,1,494
495,729-70-0114,hac habitasse platea dictumst morbi vestibulum,0,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,1,495
496,586-02-9313,amet eleifend pede libero quis orci nullam molestie nibh in,1,in porttitor pede justo eu massa donec dapibus,0,496
497,393-13-5971,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam,1,lacinia aenean,0,497
498,243-35-5613,sapien sapien non mi integer ac neque duis bibendum,0,nulla sed,1,498
499,765-47-0797,turpis nec euismod scelerisque quam turpis,1,pede morbi porttitor lorem id ligula,1,499
500,329-79-2840,porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor,0,diam vitae,0,500
501,136-14-2546,dictumst etiam faucibus cursus urna ut tellus nulla ut,0,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien,0,501
502,306-10-3610,erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus,1,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra,1,502
503,867-07-1634,orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur,0,ultrices posuere cubilia,0,503
504,405-31-2813,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in,0,interdum mauris ullamcorper purus sit amet nulla quisque arcu,0,504
505,128-06-2729,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper,0,faucibus accumsan odio curabitur convallis,1,505
506,747-26-9599,quis justo maecenas rhoncus aliquam lacus morbi quis,1,integer ac neque duis bibendum morbi non quam nec dui,0,506
507,196-87-0090,luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,1,augue aliquam erat volutpat in,0,507
508,401-85-0983,ac diam cras pellentesque volutpat,1,morbi non,1,508
509,891-37-1670,fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque,0,cras pellentesque volutpat dui maecenas,0,509
510,180-90-5269,turpis nec euismod scelerisque quam turpis adipiscing lorem,0,faucibus,0,510
511,151-61-1072,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,1,vel ipsum praesent blandit lacinia erat vestibulum sed,0,511
512,879-83-3232,integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in,0,eu est congue elementum in hac habitasse platea,0,512
513,848-87-8150,nascetur ridiculus mus etiam vel augue vestibulum,1,mauris non,0,513
514,458-68-7004,curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo,0,at velit vivamus vel,1,514
515,414-78-3666,odio cras mi pede malesuada,1,metus aenean fermentum,1,515
516,166-79-1983,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus,0,convallis eget eleifend luctus ultricies eu nibh quisque id justo,1,516
517,836-87-3511,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla,1,volutpat eleifend,1,517
518,348-23-6799,in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin,0,ridiculus mus,1,518
519,463-21-5928,massa id nisl venenatis lacinia,0,rutrum neque aenean auctor gravida sem praesent id massa,1,519
520,806-91-4055,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus,1,morbi quis,0,520
521,687-64-4565,accumsan tellus nisi eu orci mauris lacinia sapien quis libero,1,arcu,0,521
522,391-13-9430,rutrum neque aenean auctor gravida sem praesent id massa id nisl,0,amet nunc viverra dapibus,1,522
523,654-73-5760,venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis,0,sapien cum sociis natoque penatibus et magnis dis,1,523
524,647-21-7677,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis,0,magna vestibulum aliquet ultrices erat tortor,1,524
525,346-25-3866,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna,0,eros,0,525
526,383-98-1760,purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in,1,porttitor pede justo eu massa donec dapibus,1,526
527,435-23-5776,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut,1,mattis odio donec,1,527
528,768-51-7292,a feugiat et eros vestibulum ac est lacinia nisi venenatis,0,cum sociis natoque penatibus et magnis,1,528
529,516-10-6379,rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis,0,erat tortor sollicitudin,1,529
530,179-32-7484,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum,1,neque duis bibendum morbi non quam,0,530
531,491-75-4341,aliquet at feugiat non pretium quis lectus suspendisse potenti,1,aliquet pulvinar sed nisl nunc rhoncus dui,0,531
532,409-65-3235,odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt,1,venenatis turpis enim,1,532
533,458-16-6438,ut odio cras mi pede,1,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti,1,533
534,157-54-7275,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus,1,nullam sit amet turpis elementum,1,534
535,640-29-4655,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla,0,eget orci vehicula condimentum curabitur,1,535
536,723-14-7415,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci,0,suspendisse ornare consequat lectus in est risus auctor sed,0,536
537,564-73-5516,nulla sed accumsan felis ut at dolor quis odio consequat varius integer,1,id ornare imperdiet sapien urna,0,537
538,461-87-7395,fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,1,augue luctus tincidunt nulla mollis molestie lorem quisque,0,538
539,178-02-7924,consequat lectus in est risus auctor sed tristique,0,mauris morbi non lectus aliquam sit amet diam in,0,539
540,293-01-5684,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper,1,dapibus dolor vel,1,540
541,575-79-8857,consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl,0,proin risus,1,541
542,530-59-8489,duis at velit eu est congue elementum in,0,convallis nunc proin at turpis,1,542
543,850-73-9471,sociis natoque penatibus et magnis dis,0,est phasellus,0,543
544,296-07-6945,cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,0,at nulla suspendisse,1,544
545,150-91-4762,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio,0,at feugiat non pretium,0,545
546,686-19-8050,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices,0,id turpis integer aliquet massa id lobortis,0,546
547,176-30-1396,justo etiam pretium iaculis justo in,1,posuere cubilia curae,0,547
548,856-18-4447,vestibulum ante ipsum primis in faucibus,0,ultrices aliquet maecenas leo odio condimentum id luctus nec molestie,1,548
549,623-39-3129,in sagittis dui vel nisl,0,sem mauris laoreet ut rhoncus aliquet pulvinar sed,0,549
550,457-79-1951,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla,0,semper porta,0,550
551,504-10-3852,tempor turpis nec euismod scelerisque quam turpis,1,volutpat quam pede lobortis ligula sit amet eleifend pede libero,1,551
552,708-05-7018,eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,1,sit amet nulla quisque arcu libero rutrum ac lobortis vel,1,552
553,608-97-0305,amet sapien dignissim vestibulum vestibulum,0,porttitor,1,553
554,433-78-1254,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel,0,a odio in hac habitasse platea dictumst maecenas,1,554
555,166-46-4196,a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet,0,vestibulum ante ipsum primis in faucibus orci,0,555
556,635-73-4693,massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus,1,a feugiat et eros vestibulum ac est lacinia nisi,1,556
557,551-64-1042,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus,1,nonummy integer non velit,0,557
558,473-10-3861,sed nisl nunc rhoncus dui vel sem,0,tortor risus dapibus augue vel accumsan tellus nisi eu,1,558
559,142-32-8220,mi integer ac neque duis bibendum morbi,0,orci pede venenatis non,0,559
560,687-67-4537,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus,0,id massa id nisl venenatis lacinia aenean sit,0,560
561,766-43-8065,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel,0,justo nec condimentum neque sapien placerat ante nulla justo aliquam,0,561
562,533-91-2379,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo,0,at,0,562
563,220-22-0911,sapien cursus vestibulum proin eu mi nulla ac,1,iaculis justo in hac habitasse platea,1,563
564,271-74-8947,interdum in ante vestibulum ante ipsum primis in faucibus orci,0,nibh ligula nec sem,1,564
565,232-20-6311,congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat,1,in lectus pellentesque at nulla,1,565
566,517-57-9496,ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh,1,in,1,566
567,894-39-0432,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae,1,platea dictumst etiam faucibus cursus urna ut tellus nulla,0,567
568,119-17-3971,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit,1,morbi vel lectus in quam fringilla rhoncus mauris enim leo,1,568
569,688-41-8914,sed tincidunt eu felis fusce posuere felis,1,vestibulum ac,1,569
570,334-89-5718,metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra,0,iaculis congue vivamus metus arcu adipiscing molestie hendrerit,1,570
571,833-40-2685,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat,0,dignissim,0,571
572,601-56-9523,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis,1,morbi quis tortor id nulla ultrices aliquet maecenas leo odio,0,572
573,827-97-4281,sed ante vivamus tortor duis,1,ut dolor morbi,0,573
574,218-54-6315,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus,1,cum sociis,1,574
575,769-53-2626,libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede,0,nisi at nibh in,0,575
576,865-47-4355,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna,1,eget tincidunt eget tempus vel,1,576
577,428-23-1225,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus,0,praesent lectus vestibulum quam sapien varius ut,1,577
578,611-97-3222,mi sit amet lobortis sapien sapien non mi integer ac,1,etiam justo etiam pretium iaculis justo in hac,1,578
579,812-72-3864,semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque,1,ac est lacinia nisi venenatis tristique fusce congue diam id,0,579
580,247-24-3581,ac consequat metus sapien ut,1,orci luctus et ultrices posuere cubilia curae,0,580
581,574-10-5144,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes,1,venenatis tristique fusce congue diam id ornare imperdiet sapien urna,1,581
582,217-20-3037,etiam pretium iaculis justo in hac habitasse platea,0,a odio in hac habitasse platea dictumst maecenas,0,582
583,640-50-2399,ut odio cras mi pede,0,tellus in sagittis dui vel nisl duis,0,583
584,264-27-3999,vestibulum proin eu mi nulla ac enim in tempor turpis nec,0,feugiat et eros vestibulum,0,584
585,527-29-8116,nisl aenean lectus pellentesque eget nunc donec quis orci,0,fermentum justo,0,585
586,741-37-2803,phasellus id sapien in sapien iaculis congue,0,a feugiat et eros vestibulum ac,1,586
587,831-29-8974,leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices,0,et ultrices posuere cubilia curae donec pharetra magna vestibulum,0,587
588,371-54-9999,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,0,dui maecenas tristique est et tempus semper,1,588
589,838-33-1581,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,1,id luctus,0,589
590,254-86-1331,sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla,0,sed tincidunt eu felis fusce posuere felis sed lacus,1,590
591,441-46-6021,posuere felis sed lacus morbi sem mauris laoreet ut,0,lacus purus,1,591
592,531-28-5211,neque vestibulum eget vulputate ut,1,nulla ut erat id mauris,1,592
593,431-57-9392,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at,1,orci luctus et ultrices posuere cubilia curae mauris,1,593
594,510-50-1405,interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at,1,duis at velit,0,594
595,551-92-1426,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam,0,donec dapibus duis at velit,0,595
596,372-71-7132,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla,1,varius integer ac leo,1,596
597,425-70-4605,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna,0,ut,1,597
598,693-90-0379,velit vivamus vel nulla eget eros elementum,1,nullam molestie nibh in lectus pellentesque at nulla,1,598
599,131-84-6648,felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit,1,lacinia nisi venenatis tristique fusce congue,1,599
600,143-44-8668,volutpat quam pede lobortis ligula sit amet eleifend pede libero,0,sed nisl nunc rhoncus,0,600
601,283-21-8474,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum,0,non pretium quis lectus suspendisse potenti in eleifend,0,601
602,883-12-1940,orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam,0,venenatis tristique fusce congue diam id,1,602
603,465-24-1103,sem fusce consequat nulla nisl nunc nisl duis,1,non interdum in ante,0,603
604,790-89-4230,consequat ut nulla sed accumsan felis ut,1,pulvinar lobortis est,1,604
605,236-50-9698,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat,1,erat vestibulum sed magna at nunc commodo placerat,1,605
606,827-58-3086,venenatis tristique fusce congue diam id,1,lobortis convallis,0,606
607,779-91-3786,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,1,non pretium quis,0,607
608,327-14-9632,in faucibus orci luctus et,1,ut blandit non,0,608
609,792-63-6173,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis,0,interdum in ante vestibulum ante ipsum primis in,1,609
610,461-29-5408,purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio,0,velit nec nisi vulputate nonummy maecenas tincidunt,0,610
611,811-21-8603,fusce posuere felis sed lacus morbi sem mauris laoreet ut,0,leo pellentesque ultrices mattis odio,0,611
612,671-54-8458,convallis tortor risus dapibus augue vel accumsan,0,luctus,1,612
613,697-23-6083,cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi,1,sapien placerat ante,0,613
614,622-19-6104,in felis eu sapien cursus vestibulum proin eu,1,pulvinar lobortis est phasellus,0,614
615,763-28-9772,urna pretium nisl ut volutpat sapien arcu sed,0,non velit nec nisi vulputate nonummy maecenas tincidunt,1,615
616,774-77-7753,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id,1,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum,1,616
617,887-39-0194,ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem,0,eros viverra,0,617
618,636-05-9426,congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat,1,vitae consectetuer,0,618
619,241-93-5846,non lectus aliquam sit amet diam in,0,nam ultrices libero non mattis pulvinar,1,619
620,425-63-1341,nulla quisque arcu libero rutrum ac,1,curae,1,620
621,305-88-3097,ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit,0,posuere cubilia curae duis,1,621
622,618-65-2928,porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor,1,at turpis,1,622
623,121-99-2920,est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante,0,arcu sed augue aliquam,0,623
624,299-40-1849,ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae,0,eu interdum eu tincidunt in leo maecenas,0,624
625,530-95-3453,purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam,0,turpis sed ante vivamus tortor duis mattis egestas,1,625
626,878-68-9777,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia,1,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis,0,626
627,544-33-9449,quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin,1,in felis donec semper sapien a,0,627
628,609-62-8674,mus vivamus vestibulum sagittis sapien,1,in est risus auctor sed tristique in,1,628
629,692-25-5170,proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue,1,sagittis nam congue risus,0,629
630,518-57-2387,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat,0,et ultrices posuere cubilia curae,0,630
631,262-65-0727,porttitor pede justo eu massa donec dapibus duis,1,vivamus vestibulum,0,631
632,765-65-0121,vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate,1,ut suscipit a feugiat,1,632
633,262-51-6573,at nulla suspendisse potenti cras in purus,1,odio porttitor,1,633
634,541-03-2429,nulla tellus in sagittis dui vel nisl duis ac nibh,0,in sapien iaculis congue vivamus metus,0,634
635,656-22-8604,nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer,0,non ligula pellentesque,1,635
