id,Вместимость,Функционал
818,4,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.
819,2,Curabitur gravida nisi at nibh.
820,1,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
821,3,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.
822,2,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.
823,4,Aenean lectus. Pellentesque eget nunc.
824,4,Integer tincidunt ante vel ipsum.
825,4,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
826,4,Proin risus.
827,1,Nulla justo.
828,3,Etiam faucibus cursus urna. Ut tellus.
829,3,Pellentesque ultrices mattis odio.
830,4,Mauris ullamcorper purus sit amet nulla.
831,2,Nullam sit amet turpis elementum ligula vehicula consequat.
832,3,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
833,5,Proin eu mi. Nulla ac enim.
834,2,Vivamus vestibulum sagittis sapien.
835,4,Nam nulla.
836,5,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.
837,3,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
838,5,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien."
839,4,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
840,5,Integer a nibh.
841,3,Vivamus tortor. Duis mattis egestas metus.
842,5,Curabitur at ipsum ac tellus semper interdum.
843,1,Ut tellus.
844,1,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla."
845,4,Etiam justo.
846,3,Ut tellus. Nulla ut erat id mauris vulputate elementum.
847,5,In quis justo. Maecenas rhoncus aliquam lacus.
848,3,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc."
849,5,Duis bibendum. Morbi non quam nec dui luctus rutrum.
850,2,In sagittis dui vel nisl.
851,2,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.
852,5,Nulla ut erat id mauris vulputate elementum.
853,1,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla."
854,2,Curabitur in libero ut massa volutpat convallis.
855,4,Nulla facilisi.
856,5,Morbi non quam nec dui luctus rutrum.
857,3,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
858,1,Quisque ut erat. Curabitur gravida nisi at nibh.
859,3,Nulla suscipit ligula in lacus.
860,5,Aenean lectus. Pellentesque eget nunc.
861,2,Suspendisse accumsan tortor quis turpis. Sed ante.
862,4,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
863,4,Etiam justo. Etiam pretium iaculis justo.
864,2,In hac habitasse platea dictumst.
865,5,Etiam vel augue.
866,3,Praesent lectus.
867,1,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.
868,4,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
869,5,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
870,3,Suspendisse ornare consequat lectus.
871,4,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante."
872,5,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue."
873,4,Nulla nisl.
874,3,Fusce consequat.
875,4,Nulla nisl.
876,2,Ut at dolor quis odio consequat varius.
877,5,Sed ante. Vivamus tortor.
878,4,Etiam faucibus cursus urna. Ut tellus.
879,3,Mauris sit amet eros.
880,1,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
881,2,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
882,4,Etiam pretium iaculis justo.
883,4,Morbi non lectus.
884,3,Maecenas ut massa quis augue luctus tincidunt.
885,2,Proin interdum mauris non ligula pellentesque ultrices.
886,5,Aliquam erat volutpat. In congue.
887,5,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.
888,4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
889,2,Pellentesque ultrices mattis odio.
890,5,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus."
891,1,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
892,1,Donec semper sapien a libero. Nam dui.
893,2,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
894,4,Nam dui.
895,4,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
896,3,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
897,5,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio."
898,4,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
899,4,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
900,2,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula."
901,3,Curabitur gravida nisi at nibh.
902,2,Pellentesque at nulla.
903,3,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
904,4,Donec vitae nisi.
905,5,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.
906,5,Cras in purus eu magna vulputate luctus.
907,5,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus."
908,2,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
909,2,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede."
910,3,Ut tellus. Nulla ut erat id mauris vulputate elementum.
911,2,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
912,3,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa."
913,1,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.
914,4,Curabitur in libero ut massa volutpat convallis.
915,3,Vivamus vestibulum sagittis sapien.
916,2,Morbi a ipsum.
917,4,Nam dui.
918,2,Etiam vel augue.
919,3,Duis ac nibh.
920,4,Sed ante. Vivamus tortor.
921,5,Aenean lectus. Pellentesque eget nunc.
922,3,Nulla ut erat id mauris vulputate elementum. Nullam varius.
923,3,Morbi non lectus.
924,2,Proin eu mi.
925,2,Vestibulum sed magna at nunc commodo placerat.
926,1,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo."
927,3,Etiam vel augue.
928,3,Aliquam erat volutpat. In congue.
929,5,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc."
930,1,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien."
931,5,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
932,1,Morbi non quam nec dui luctus rutrum. Nulla tellus.
933,1,Nullam sit amet turpis elementum ligula vehicula consequat.
934,4,Aenean fermentum. Donec ut mauris eget massa tempor convallis.
935,2,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante."
936,1,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede."
937,4,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci."
938,1,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.
939,5,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
940,5,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat."
941,1,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.
942,1,Donec posuere metus vitae ipsum.
943,2,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
944,1,Proin eu mi. Nulla ac enim.
945,3,Nulla tempus.
946,4,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.
947,1,Vivamus vel nulla eget eros elementum pellentesque.
948,5,Morbi a ipsum. Integer a nibh.
949,5,Maecenas ut massa quis augue luctus tincidunt.
950,3,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.
951,5,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.
952,4,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
953,5,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede."
954,4,Donec ut mauris eget massa tempor convallis.
955,1,Duis mattis egestas metus.
956,3,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante."
957,4,Aenean lectus. Pellentesque eget nunc.
958,2,Aliquam non mauris. Morbi non lectus.
959,2,Vivamus tortor. Duis mattis egestas metus.
960,4,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.
961,2,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
962,4,Aliquam quis turpis eget elit sodales scelerisque.
963,2,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
964,4,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.
965,2,Pellentesque viverra pede ac diam.
966,2,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
967,5,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.
968,5,Sed ante.
969,3,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
970,3,Proin at turpis a pede posuere nonummy.
971,1,Morbi non quam nec dui luctus rutrum. Nulla tellus.
972,1,Aliquam erat volutpat. In congue.
973,3,Aenean sit amet justo. Morbi ut odio.
974,3,Etiam pretium iaculis justo. In hac habitasse platea dictumst.
975,2,Praesent id massa id nisl venenatis lacinia.
976,2,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam."
977,4,In hac habitasse platea dictumst.
978,5,Nulla facilisi.
979,3,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
980,4,Nullam porttitor lacus at turpis.
981,1,Nulla tempus.
982,3,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla."
983,1,Vivamus in felis eu sapien cursus vestibulum.
984,4,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla."
985,3,Fusce consequat. Nulla nisl.
986,1,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio."
987,2,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum."
988,3,Duis mattis egestas metus.
989,2,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
990,2,Vivamus vel nulla eget eros elementum pellentesque.
991,5,Etiam pretium iaculis justo.
992,1,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices."
993,1,Donec vitae nisi.
994,4,Suspendisse accumsan tortor quis turpis.
995,5,Morbi porttitor lorem id ligula.
996,4,Vestibulum sed magna at nunc commodo placerat.
997,1,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
998,4,Nunc rhoncus dui vel sem. Sed sagittis.
999,1,Sed ante.
1000,3,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.
