id,Назначение,Размер,Вес,Легальность,Содержимое,Хрупкость,id_Ticket
532,Гражданское,amet,12,0,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,1,532
533,Военное,semper,45,1,Etiam justo.,1,533
534,Военное,congue diam id ornare,16,1,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,0,534
535,Гражданское,viverra,19,0,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,1,535
536,Военное,consequat morbi a ipsum,20,0,Suspendisse potenti. In eleifend quam a odio.,1,536
537,Военное,bibendum imperdiet nullam,38,1,Etiam faucibus cursus urna. Ut tellus.,1,537
538,Военное,bibendum felis sed interdum,32,0,Mauris ullamcorper purus sit amet nulla.,1,538
539,Военное,congue vivamus metus,33,0,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",1,539
540,Гражданское,dis parturient montes,28,0,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",1,540
541,Гражданское,aenean fermentum donec ut,46,1,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,1,541
542,Военное,fermentum justo,15,0,Curabitur gravida nisi at nibh.,1,542
543,Гражданское,nullam sit,5,0,Curabitur gravida nisi at nibh.,1,543
544,Военное,interdum eu tincidunt,7,1,Integer a nibh. In quis justo.,0,544
545,Военное,ut suscipit a,32,0,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",1,545
546,Военное,nunc nisl,29,1,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",1,546
547,Гражданское,dapibus,12,1,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,0,547
548,Военное,ut,29,0,Nam tristique tortor eu pede.,0,548
549,Гражданское,semper rutrum nulla,47,0,Nulla ut erat id mauris vulputate elementum.,1,549
550,Военное,lectus in,6,1,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1,550
551,Военное,et magnis dis,37,0,Quisque porta volutpat erat.,1,551
552,Военное,in magna bibendum,28,1,Morbi non quam nec dui luctus rutrum.,0,552
553,Военное,at,27,0,Suspendisse potenti.,1,553
554,Гражданское,ullamcorper purus sit,45,1,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",1,554
555,Военное,fusce lacus purus aliquet,38,1,Cras pellentesque volutpat dui.,1,555
556,Военное,mauris non ligula,20,0,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",0,556
557,Военное,viverra pede ac,5,1,Morbi non quam nec dui luctus rutrum. Nulla tellus.,1,557
558,Военное,accumsan,3,0,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",1,558
559,Гражданское,lectus pellentesque,7,1,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,1,559
560,Военное,in quis justo maecenas,39,1,Duis at velit eu est congue elementum.,1,560
561,Гражданское,eget,33,0,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",1,561
562,Военное,mi pede malesuada in,9,1,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",1,562
563,Военное,diam cras,50,1,Sed ante. Vivamus tortor.,0,563
564,Военное,fringilla,21,1,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,1,564
565,Гражданское,metus aenean fermentum donec,22,0,Integer a nibh.,1,565
566,Гражданское,erat eros viverra,31,1,Vivamus in felis eu sapien cursus vestibulum.,1,566
567,Гражданское,aenean,3,1,In blandit ultrices enim.,1,567
568,Военное,a libero nam,50,1,Vivamus tortor.,1,568
569,Гражданское,eros vestibulum,36,1,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",0,569
570,Гражданское,et magnis dis parturient,30,0,Cras in purus eu magna vulputate luctus.,0,570
571,Гражданское,tempus vel pede morbi,43,0,Mauris lacinia sapien quis libero.,1,571
572,Гражданское,in faucibus orci luctus,40,0,Nullam porttitor lacus at turpis.,0,572
573,Гражданское,pede malesuada,29,0,Nulla tellus. In sagittis dui vel nisl.,0,573
574,Гражданское,turpis,7,1,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",0,574
575,Гражданское,aliquam non mauris morbi,45,1,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",1,575
576,Военное,congue,35,0,Pellentesque at nulla. Suspendisse potenti.,0,576
577,Военное,nullam sit amet turpis,12,0,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",0,577
578,Военное,quam,39,0,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",1,578
579,Гражданское,scelerisque,49,0,Nullam molestie nibh in lectus.,1,579
580,Военное,nunc nisl,23,0,Cras non velit nec nisi vulputate nonummy.,0,580
581,Гражданское,ut massa quis augue,40,0,Sed accumsan felis.,0,581
582,Гражданское,odio porttitor id,50,0,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",1,582
583,Военное,neque,33,0,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",0,583
584,Гражданское,semper interdum mauris ullamcorper,21,1,In hac habitasse platea dictumst.,1,584
585,Гражданское,sodales sed,47,0,Ut tellus.,1,585
586,Военное,metus aenean,46,0,Nulla tellus. In sagittis dui vel nisl.,1,586
587,Военное,sapien placerat,22,1,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",1,587
588,Военное,non mi,25,0,Nunc purus. Phasellus in felis.,1,588
589,Военное,eget tempus vel pede,13,1,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,1,589
590,Гражданское,nulla pede ullamcorper augue,13,1,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",1,590
591,Военное,ante ipsum,31,0,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,0,591
592,Гражданское,sit,41,1,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,0,592
593,Гражданское,proin,45,1,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",1,593
594,Гражданское,sed,42,0,Aliquam sit amet diam in magna bibendum imperdiet.,1,594
595,Гражданское,ac,34,1,Nulla nisl.,1,595
596,Военное,ut,41,0,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",1,596
597,Военное,accumsan felis,1,0,Praesent blandit lacinia erat.,0,597
598,Гражданское,at,8,1,Vivamus tortor.,0,598
599,Военное,quis orci,3,1,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1,599
600,Гражданское,amet eros suspendisse accumsan,29,0,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",0,600
601,Гражданское,urna pretium,15,1,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",0,601
602,Военное,vivamus vestibulum sagittis sapien,19,0,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1,602
603,Военное,fusce congue,2,1,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",1,603
604,Военное,vivamus,45,0,Nunc purus.,0,604
605,Гражданское,rutrum neque aenean,15,1,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1,605
606,Военное,eu,37,1,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",0,606
607,Гражданское,dapibus nulla suscipit,28,0,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,0,607
608,Гражданское,enim,48,0,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,1,608
609,Военное,eu massa donec,4,1,Phasellus id sapien in sapien iaculis congue.,0,609
610,Военное,velit donec diam neque,5,1,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",1,610
611,Военное,congue eget semper,33,1,In congue.,0,611
612,Гражданское,fusce,9,0,Curabitur gravida nisi at nibh.,0,612
613,Военное,ut volutpat sapien arcu,9,1,Nulla justo.,0,613
614,Гражданское,quis,43,0,Etiam vel augue. Vestibulum rutrum rutrum neque.,1,614
615,Гражданское,porta volutpat quam pede,3,1,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",0,615
616,Гражданское,integer ac leo,28,1,Aliquam erat volutpat.,0,616
617,Военное,bibendum morbi non quam,31,1,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",1,617
618,Гражданское,lobortis vel,34,0,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",0,618
619,Гражданское,lorem integer tincidunt ante,12,0,Quisque id justo sit amet sapien dignissim vestibulum.,1,619
620,Гражданское,sapien,12,0,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",0,620
621,Гражданское,risus dapibus augue,31,1,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",1,621
622,Гражданское,a ipsum integer a,9,0,Aenean auctor gravida sem.,0,622
623,Военное,in quis justo,10,0,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0,623
624,Гражданское,ac,35,1,Etiam faucibus cursus urna. Ut tellus.,0,624
625,Военное,maecenas,45,0,In hac habitasse platea dictumst.,1,625
626,Гражданское,in magna,40,1,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,0,626
627,Военное,non,21,1,Duis bibendum.,1,627
628,Военное,nam dui,39,0,Nulla nisl. Nunc nisl.,0,628
629,Гражданское,sed accumsan felis,46,1,Nullam molestie nibh in lectus.,1,629
630,Гражданское,ac consequat metus sapien,27,1,Praesent blandit lacinia erat.,0,630
631,Гражданское,nunc rhoncus,43,1,Curabitur in libero ut massa volutpat convallis.,0,631
632,Военное,montes nascetur,19,0,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",1,632
633,Гражданское,nulla suspendisse potenti cras,18,0,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",1,633
634,Гражданское,vulputate elementum nullam,38,1,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,1,634
635,Военное,vel ipsum praesent,7,0,Fusce consequat.,1,635
636,Военное,orci mauris lacinia,25,1,Cras non velit nec nisi vulputate nonummy.,1,636
637,Гражданское,nisi venenatis,49,1,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",0,637
638,Военное,morbi,4,0,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",1,638
639,Военное,eget,50,1,In blandit ultrices enim.,1,639
640,Гражданское,neque sapien,36,1,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1,640
641,Гражданское,et,29,0,Praesent blandit. Nam nulla.,1,641
642,Гражданское,aliquet,50,0,Integer ac neque. Duis bibendum.,0,642
643,Гражданское,justo,36,1,Ut at dolor quis odio consequat varius. Integer ac leo.,1,643
644,Военное,cubilia curae duis,39,1,Sed ante. Vivamus tortor.,0,644
645,Военное,natoque penatibus,38,1,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",1,645
646,Военное,quam a odio in,27,0,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,0,646
647,Военное,etiam pretium,27,1,Donec ut mauris eget massa tempor convallis.,0,647
648,Военное,in imperdiet,12,1,Nullam varius.,0,648
649,Военное,suspendisse potenti,3,0,Integer ac neque. Duis bibendum.,1,649
650,Военное,sit amet justo,27,0,In congue.,1,650
651,Военное,mi sit amet lobortis,9,1,Nunc purus.,1,651
652,Военное,ultrices,29,0,Duis bibendum. Morbi non quam nec dui luctus rutrum.,0,652
653,Гражданское,odio,48,0,Donec vitae nisi.,1,653
654,Гражданское,posuere cubilia curae,29,1,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",0,654
655,Военное,imperdiet,36,0,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,1,655
656,Военное,morbi non quam nec,46,1,Nulla nisl. Nunc nisl.,0,656
657,Гражданское,arcu adipiscing molestie,27,1,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",1,657
658,Военное,in,23,0,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,1,658
659,Гражданское,molestie lorem,28,0,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,0,659
660,Военное,elementum,35,0,Donec dapibus.,0,660
661,Гражданское,duis mattis egestas,48,0,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,1,661
662,Военное,velit donec diam neque,30,0,Nulla mollis molestie lorem. Quisque ut erat.,0,662
663,Гражданское,dapibus,46,1,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,1,663
664,Гражданское,suscipit a,15,1,Vestibulum sed magna at nunc commodo placerat.,0,664
665,Военное,nulla quisque arcu,13,1,Nulla tellus. In sagittis dui vel nisl.,0,665
666,Гражданское,donec ut mauris eget,40,0,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",1,666
667,Гражданское,amet diam,40,1,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,1,667
668,Гражданское,velit donec,28,0,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",0,668
669,Военное,at dolor,29,1,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",0,669
670,Гражданское,sapien,7,1,Phasellus in felis. Donec semper sapien a libero.,0,670
671,Военное,nunc commodo placerat,42,1,Nulla suscipit ligula in lacus.,1,671
672,Военное,nunc purus phasellus,14,0,Maecenas rhoncus aliquam lacus.,0,672
673,Гражданское,arcu adipiscing,40,1,Donec semper sapien a libero.,1,673
674,Гражданское,pede venenatis,23,1,Morbi ut odio.,1,674
675,Военное,massa id nisl venenatis,22,0,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",0,675
676,Гражданское,sit amet erat,40,1,Vestibulum ac est lacinia nisi venenatis tristique.,0,676
677,Гражданское,leo odio condimentum,21,1,Proin interdum mauris non ligula pellentesque ultrices.,1,677
678,Военное,quis,11,0,Nulla mollis molestie lorem.,0,678
679,Гражданское,eros viverra eget,48,1,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,1,679
680,Военное,nisl venenatis,34,1,Duis mattis egestas metus.,1,680
681,Военное,sapien non mi integer,43,1,Integer tincidunt ante vel ipsum.,1,681
682,Гражданское,diam neque vestibulum eget,13,1,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",0,682
683,Военное,vel augue vestibulum ante,10,0,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",1,683
684,Военное,purus phasellus in felis,15,1,Etiam faucibus cursus urna. Ut tellus.,0,684
685,Военное,primis in faucibus orci,26,1,Sed accumsan felis. Ut at dolor quis odio consequat varius.,0,685
686,Военное,lacus morbi sem,3,0,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,0,686
687,Военное,nulla quisque arcu libero,37,0,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1,687
688,Гражданское,nunc commodo placerat,47,0,Nunc purus.,0,688
689,Гражданское,ut dolor morbi,29,0,In eleifend quam a odio.,1,689
690,Гражданское,mauris sit,37,1,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",0,690
691,Военное,ante ipsum primis,44,1,Duis bibendum.,0,691
692,Военное,eros vestibulum,7,1,Morbi ut odio.,0,692
693,Гражданское,ipsum dolor sit amet,39,0,Phasellus sit amet erat. Nulla tempus.,0,693
694,Гражданское,eu,21,1,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",0,694
695,Гражданское,auctor sed,14,1,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",1,695
696,Гражданское,lectus,16,0,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,1,696
697,Военное,tristique tortor eu,4,0,Morbi non quam nec dui luctus rutrum. Nulla tellus.,0,697
698,Гражданское,duis faucibus,44,1,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",1,698
699,Военное,odio,37,1,Phasellus sit amet erat.,1,699
700,Гражданское,nibh quisque id justo,47,1,Etiam justo. Etiam pretium iaculis justo.,1,700
701,Гражданское,tempor convallis nulla neque,27,0,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,1,701
702,Военное,dapibus duis at,1,0,Nam nulla.,1,702
703,Гражданское,platea dictumst,39,1,Sed ante.,0,703
704,Военное,dui,25,0,Donec vitae nisi.,1,704
705,Гражданское,enim sit,42,0,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",1,705
706,Военное,etiam,34,0,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,0,706
707,Гражданское,cum sociis natoque,28,1,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",1,707
708,Гражданское,rutrum,3,1,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",0,708
709,Военное,a nibh in,47,0,Nulla tempus.,1,709
710,Гражданское,massa id lobortis convallis,48,0,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",1,710
711,Гражданское,in,3,1,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",1,711
712,Гражданское,id massa id nisl,11,0,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,0,712
713,Гражданское,metus sapien ut nunc,30,0,Duis consequat dui nec nisi volutpat eleifend.,1,713
714,Военное,erat,34,1,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",0,714
715,Гражданское,augue a,23,0,Duis mattis egestas metus. Aenean fermentum.,1,715
716,Гражданское,sed tincidunt eu felis,27,0,Maecenas tincidunt lacus at velit.,1,716
717,Военное,pede ac diam cras,41,0,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,0,717
718,Военное,curabitur gravida,7,1,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",0,718
719,Военное,sit amet,11,1,Vivamus vestibulum sagittis sapien.,1,719
720,Гражданское,hendrerit at vulputate,10,1,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",0,720
721,Гражданское,duis consequat,43,1,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",1,721
722,Гражданское,non velit nec,29,0,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1,722
723,Гражданское,dui vel sem,16,0,Vivamus vel nulla eget eros elementum pellentesque.,1,723
724,Гражданское,sapien urna pretium,32,0,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,0,724
725,Гражданское,dapibus augue vel,48,1,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",1,725
726,Военное,ipsum ac tellus,43,1,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,0,726
727,Военное,posuere,10,0,Nulla tellus.,1,727
728,Военное,nibh ligula nec,49,1,Curabitur gravida nisi at nibh.,1,728
729,Гражданское,vestibulum sit,34,0,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,0,729
730,Гражданское,velit id,23,0,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,1,730
731,Военное,a,46,0,Aenean sit amet justo. Morbi ut odio.,1,731
732,Гражданское,id justo,38,1,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",0,732
733,Гражданское,curae duis faucibus,26,0,Aenean sit amet justo. Morbi ut odio.,0,733
734,Гражданское,luctus tincidunt nulla mollis,23,1,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",0,734
735,Военное,porttitor lorem id,13,0,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",1,735
736,Гражданское,nibh ligula,37,0,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",1,736
737,Военное,in hac habitasse,5,1,Pellentesque eget nunc.,0,737
738,Военное,nulla ultrices aliquet maecenas,34,0,Pellentesque viverra pede ac diam.,1,738
739,Гражданское,dictumst morbi vestibulum,5,1,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1,739
740,Гражданское,a nibh in quis,50,1,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",1,740
741,Гражданское,blandit non,18,0,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,1,741
742,Гражданское,habitasse platea,3,1,Mauris sit amet eros.,0,742
743,Военное,varius ut blandit,2,1,Praesent blandit.,0,743
744,Гражданское,nam ultrices libero non,5,0,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",1,744
745,Гражданское,sit amet diam,25,0,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",0,745
746,Военное,purus phasellus in felis,47,0,Vivamus in felis eu sapien cursus vestibulum.,1,746
747,Военное,phasellus,28,0,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",0,747
748,Военное,diam neque vestibulum eget,36,0,Vestibulum ac est lacinia nisi venenatis tristique.,0,748
749,Военное,enim leo rhoncus,23,1,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,1,749
750,Гражданское,molestie,19,1,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,0,750
751,Гражданское,eleifend quam a,19,0,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,0,751
752,Военное,leo rhoncus,25,0,Proin eu mi.,0,752
753,Военное,phasellus in,49,0,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,1,753
754,Военное,lacinia,30,1,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",0,754
755,Военное,nunc,47,0,Quisque id justo sit amet sapien dignissim vestibulum.,1,755
756,Гражданское,id ornare imperdiet,39,1,Quisque ut erat.,0,756
757,Военное,praesent blandit nam,33,0,Ut tellus. Nulla ut erat id mauris vulputate elementum.,0,757
758,Гражданское,penatibus,15,1,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",1,758
759,Военное,pellentesque,8,1,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",1,759
760,Гражданское,leo pellentesque ultrices,15,0,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",0,760
761,Военное,arcu adipiscing molestie,5,0,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",0,761
762,Военное,ipsum aliquam non mauris,47,1,In congue. Etiam justo.,1,762
763,Военное,et magnis dis,9,1,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",0,763
764,Гражданское,morbi non quam,21,1,Nullam varius. Nulla facilisi.,0,764
765,Гражданское,quis,5,1,Maecenas rhoncus aliquam lacus.,0,765
766,Гражданское,vulputate luctus,33,0,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,0,766
767,Гражданское,rhoncus mauris enim leo,50,1,In hac habitasse platea dictumst.,1,767
768,Военное,est risus,32,1,Suspendisse potenti. In eleifend quam a odio.,0,768
769,Гражданское,amet turpis,19,0,Pellentesque ultrices mattis odio.,0,769
770,Военное,enim,4,0,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",1,770
771,Гражданское,in eleifend quam a,11,0,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",1,771
772,Военное,nulla justo aliquam quis,1,0,Proin risus.,0,772
773,Гражданское,maecenas,35,1,Nunc purus.,0,773
774,Гражданское,sit amet consectetuer,17,1,Maecenas ut massa quis augue luctus tincidunt.,0,774
775,Военное,ut,33,0,Vestibulum ac est lacinia nisi venenatis tristique.,0,775
776,Гражданское,ac enim,17,0,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",1,776
777,Гражданское,magnis dis parturient montes,7,0,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,1,777
778,Военное,elit,12,1,Proin risus. Praesent lectus.,0,778
779,Гражданское,odio justo sollicitudin ut,27,0,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",1,779
780,Гражданское,nisl duis,25,0,Nam dui.,1,780
781,Военное,amet eros suspendisse accumsan,27,1,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",1,781
782,Военное,ante ipsum primis,25,0,In hac habitasse platea dictumst.,1,782
783,Военное,in tempus sit amet,23,1,Nullam sit amet turpis elementum ligula vehicula consequat.,1,783
784,Военное,dapibus,4,1,Duis at velit eu est congue elementum.,1,784
785,Военное,in lacus,36,1,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",0,785
786,Военное,in hac habitasse,19,0,Phasellus id sapien in sapien iaculis congue.,1,786
787,Военное,pellentesque,18,1,In hac habitasse platea dictumst.,1,787
