id,Производитель,Загруженность,Состояние,Тип,Номер модели,id_Hangar
860,Туполев,36,Идеальное,Грузовой,484-45-0247,860
861,ОАК,24,Ну такое,Пассажирский,375-78-4478,861
862,Boeing,1,Неудовлетворительное,Пассажирский,677-85-0382,862
863,Kawasaki,10,Удовлетворительное,Грузовой,846-76-4010,863
864,Boeing,90,Идеальное,Пассажирский,300-77-6981,864
865,Airbus,58,Ну такое,Пассажирский,293-48-8557,865
866,Boeing,87,Идеальное,Грузовой,626-66-7862,866
867,Kawasaki,20,Неудовлетворительное,Грузовой,429-65-7217,867
868,Boeing,19,Удовлетворительное,Пассажирский,371-57-7870,868
869,ОАК,20,Неудовлетворительное,Грузовой,560-01-5446,869
870,Airbus,69,Неудовлетворительное,Грузовой,779-43-4339,870
871,Boeing,21,Хорошее,Пассажирский,628-58-3801,871
872,Airbus,41,Удовлетворительное,Грузовой,464-98-3190,872
873,Boeing,62,Удовлетворительное,Пассажирский,554-01-9560,873
874,Airbus,60,Хорошее,Пассажирский,715-92-7913,874
875,Туполев,82,Ну такое,Пассажирский,436-91-6604,875
876,Kawasaki,65,Удовлетворительное,Пассажирский,203-46-9619,876
877,Туполев,11,Неудовлетворительное,Пассажирский,333-11-4198,877
878,Kawasaki,84,Хорошее,Грузовой,325-80-8840,878
879,Lockheed,63,Удовлетворительное,Грузовой,389-96-3096,879
880,Lockheed,66,Удовлетворительное,Грузовой,698-83-4720,880
881,Lockheed,29,Идеальное,Пассажирский,208-03-1283,881
882,Kawasaki,71,Ну такое,Грузовой,344-11-7742,882
883,ОАК,62,Ну такое,Грузовой,302-18-5726,883
884,Boeing,65,Неудовлетворительное,Пассажирский,395-79-2216,884
885,Boeing,15,Идеальное,Грузовой,899-30-3489,885
886,ОАК,56,Неудовлетворительное,Грузовой,642-85-7413,886
887,Airbus,85,Неудовлетворительное,Грузовой,333-77-1209,887
888,Lockheed,98,Неудовлетворительное,Пассажирский,471-89-7700,888
889,Kawasaki,87,Неудовлетворительное,Пассажирский,659-93-6934,889
890,Lockheed,30,Неудовлетворительное,Пассажирский,546-40-1534,890
891,Airbus,1,Удовлетворительное,Грузовой,415-81-9768,891
892,Boeing,35,Удовлетворительное,Пассажирский,660-76-5998,892
893,Boeing,65,Удовлетворительное,Грузовой,270-34-5076,893
894,Туполев,35,Хорошее,Грузовой,331-32-2392,894
895,ОАК,12,Хорошее,Пассажирский,802-53-9526,895
896,Туполев,15,Идеальное,Пассажирский,843-63-7767,896
897,Lockheed,31,Неудовлетворительное,Пассажирский,409-93-9825,897
898,Airbus,29,Неудовлетворительное,Пассажирский,618-68-7270,898
899,Туполев,30,Удовлетворительное,Пассажирский,744-95-0106,899
900,Туполев,41,Идеальное,Пассажирский,811-11-5966,900
901,Туполев,34,Неудовлетворительное,Грузовой,780-80-1212,901
902,Lockheed,49,Ну такое,Пассажирский,347-92-1695,902
903,Туполев,47,Ну такое,Пассажирский,857-80-9966,903
904,Kawasaki,39,Хорошее,Пассажирский,609-64-7165,904
905,Lockheed,29,Неудовлетворительное,Пассажирский,624-96-5443,905
906,Boeing,0,Ну такое,Пассажирский,656-54-3904,906
907,Lockheed,7,Неудовлетворительное,Грузовой,406-98-2933,907
908,Lockheed,56,Удовлетворительное,Пассажирский,892-96-7628,908
909,Lockheed,46,Хорошее,Грузовой,244-15-1608,909
910,Airbus,51,Хорошее,Пассажирский,316-77-3403,910
911,Boeing,45,Неудовлетворительное,Грузовой,316-73-2936,911
912,Kawasaki,99,Хорошее,Пассажирский,713-36-6613,912
913,Kawasaki,77,Удовлетворительное,Пассажирский,777-60-3572,913
914,ОАК,7,Хорошее,Грузовой,820-09-0539,914
915,Kawasaki,87,Ну такое,Пассажирский,389-69-9034,915
916,ОАК,8,Удовлетворительное,Грузовой,489-53-1960,916
917,Туполев,2,Неудовлетворительное,Грузовой,690-50-7831,917
918,Туполев,69,Идеальное,Пассажирский,670-71-4463,918
919,Boeing,85,Идеальное,Пассажирский,662-19-5986,919
920,Kawasaki,90,Идеальное,Пассажирский,685-06-8406,920
921,Lockheed,58,Ну такое,Пассажирский,517-29-9625,921
922,Boeing,13,Удовлетворительное,Грузовой,180-24-8942,922
923,Boeing,79,Хорошее,Грузовой,750-88-9501,923
924,ОАК,95,Ну такое,Грузовой,174-39-5618,924
925,ОАК,41,Удовлетворительное,Грузовой,843-55-8631,925
926,Airbus,96,Идеальное,Грузовой,329-54-0850,926
927,Туполев,76,Ну такое,Грузовой,628-31-6659,927
928,Kawasaki,26,Хорошее,Грузовой,321-22-4441,928
929,Туполев,67,Неудовлетворительное,Грузовой,835-20-2074,929
930,Airbus,11,Удовлетворительное,Грузовой,566-31-4663,930
931,ОАК,47,Удовлетворительное,Пассажирский,322-74-0665,931
932,Lockheed,54,Ну такое,Пассажирский,276-73-3385,932
933,Туполев,27,Ну такое,Пассажирский,585-08-4106,933
934,Туполев,24,Ну такое,Пассажирский,794-55-5760,934
935,ОАК,60,Хорошее,Пассажирский,272-80-5864,935
936,Kawasaki,43,Ну такое,Грузовой,217-50-0637,936
937,Lockheed,4,Хорошее,Пассажирский,424-38-1724,937
938,Lockheed,39,Неудовлетворительное,Пассажирский,588-40-2530,938
939,Туполев,1,Неудовлетворительное,Пассажирский,729-50-9099,939
940,Kawasaki,82,Хорошее,Грузовой,601-73-8577,940
941,Airbus,14,Неудовлетворительное,Пассажирский,534-91-1302,941
942,Туполев,82,Ну такое,Грузовой,710-89-3190,942
943,ОАК,4,Хорошее,Грузовой,746-38-8377,943
944,ОАК,71,Идеальное,Пассажирский,426-23-4219,944
945,Airbus,89,Неудовлетворительное,Грузовой,509-08-7334,945
946,Boeing,77,Ну такое,Пассажирский,512-57-8628,946
947,ОАК,84,Идеальное,Пассажирский,120-73-5548,947
948,ОАК,29,Идеальное,Грузовой,682-78-2651,948
949,Airbus,1,Идеальное,Пассажирский,621-36-3344,949
950,Boeing,92,Неудовлетворительное,Грузовой,334-32-8353,950
951,Kawasaki,84,Идеальное,Грузовой,618-67-9305,951
952,Lockheed,45,Удовлетворительное,Пассажирский,603-33-0359,952
953,Boeing,63,Ну такое,Пассажирский,893-52-0475,953
954,Lockheed,89,Идеальное,Пассажирский,785-05-7220,954
955,ОАК,90,Удовлетворительное,Грузовой,352-30-1927,955
956,Lockheed,66,Хорошее,Пассажирский,733-68-9642,956
957,Boeing,61,Ну такое,Пассажирский,521-04-8720,957
958,Kawasaki,43,Хорошее,Грузовой,202-89-0080,958
959,Kawasaki,87,Идеальное,Пассажирский,773-89-1698,959
960,Kawasaki,34,Ну такое,Пассажирский,835-70-4642,960
961,Lockheed,15,Идеальное,Пассажирский,100-54-9822,961
962,Boeing,73,Неудовлетворительное,Пассажирский,895-23-6076,962
963,Airbus,88,Идеальное,Грузовой,802-28-5495,963
964,Airbus,31,Удовлетворительное,Грузовой,885-64-8414,964
965,ОАК,7,Идеальное,Пассажирский,844-74-6558,965
966,Lockheed,54,Неудовлетворительное,Пассажирский,407-64-1891,966
967,Kawasaki,23,Ну такое,Пассажирский,381-93-6377,967
968,Kawasaki,21,Идеальное,Грузовой,800-97-7647,968
969,Boeing,58,Неудовлетворительное,Пассажирский,117-24-6027,969
970,Kawasaki,11,Удовлетворительное,Грузовой,284-74-5396,970
971,Airbus,68,Удовлетворительное,Пассажирский,622-58-9710,971
972,Туполев,47,Неудовлетворительное,Грузовой,588-44-7933,972
973,Lockheed,47,Ну такое,Пассажирский,870-18-7705,973
974,Туполев,33,Удовлетворительное,Грузовой,496-35-0078,974
975,Lockheed,17,Хорошее,Грузовой,497-81-8006,975
976,Boeing,31,Идеальное,Грузовой,565-81-5187,976
977,Lockheed,53,Ну такое,Пассажирский,613-84-1064,977
978,Airbus,85,Ну такое,Грузовой,760-18-3939,978
979,ОАК,100,Хорошее,Пассажирский,704-40-0725,979
980,Туполев,29,Удовлетворительное,Пассажирский,331-43-3375,980
981,Kawasaki,24,Идеальное,Пассажирский,447-34-7661,981
982,Kawasaki,29,Хорошее,Грузовой,374-82-1236,982
983,Boeing,65,Неудовлетворительное,Пассажирский,849-34-0197,983
984,Boeing,35,Идеальное,Грузовой,388-80-2135,984
985,Boeing,84,Ну такое,Грузовой,368-36-7204,985
986,ОАК,79,Идеальное,Пассажирский,190-58-9032,986
987,Boeing,26,Неудовлетворительное,Пассажирский,749-36-1452,987
988,Туполев,58,Идеальное,Пассажирский,740-20-8727,988
989,Airbus,13,Ну такое,Пассажирский,133-38-1461,989
990,Boeing,46,Ну такое,Грузовой,636-18-2612,990
991,ОАК,18,Ну такое,Пассажирский,451-98-2864,991
992,Kawasaki,87,Ну такое,Пассажирский,218-41-1838,992
993,ОАК,5,Неудовлетворительное,Грузовой,741-13-0567,993
994,Airbus,65,Удовлетворительное,Грузовой,728-51-7447,994
995,Lockheed,25,Идеальное,Грузовой,373-12-8036,995
996,Kawasaki,98,Хорошее,Пассажирский,423-10-8873,996
997,Lockheed,30,Удовлетворительное,Пассажирский,442-49-8866,997
998,Kawasaki,8,Идеальное,Пассажирский,464-18-7696,998
999,ОАК,14,Неудовлетворительное,Грузовой,273-55-6023,999
1000,Туполев,60,Неудовлетворительное,Пассажирский,755-56-3295,1000
